City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Albany,US,42.6001,-73.9662,45.39,66,56,1.99,broken clouds
1,Bull Savanna,JM,17.8868,-77.5902,79.47,73,49,1.41,scattered clouds
2,Aklavik,CA,68.2191,-135.0107,19.4,86,75,6.91,broken clouds
3,Vanavara,RU,60.34,102.2797,3.07,93,100,10.54,light snow
4,Punta Arenas,CL,-53.15,-70.9167,62.71,34,40,14.97,scattered clouds
5,Hithadhoo,MV,-0.6,73.0833,80.87,78,100,14.03,overcast clouds
6,Omboue,GA,-1.5746,9.2618,76.01,90,96,8.08,light rain
7,Airai,TL,-8.9266,125.4092,61.09,88,100,1.66,overcast clouds
8,Poltavka,RU,54.3663,71.7632,32.54,96,100,20.56,light snow
9,Bredasdorp,ZA,-34.5322,20.0403,58.62,83,0,0.13,clear sky
10,Avarua,CK,-21.2078,-159.775,77.05,53,91,13.8,overcast clouds
11,Kargasok,RU,59.0556,80.8572,12.24,99,75,1.74,broken clouds
12,Bluff,NZ,-46.6,168.3333,58.8,74,22,6.06,few clouds
13,Qaanaaq,GL,77.484,-69.3632,2.66,96,100,5.5,overcast clouds
14,Dombarovskiy,RU,50.7587,59.5386,36.64,97,100,22.91,light rain
15,Manica,FR,49.0,-1.1667,51.19,83,5,5.57,clear sky
16,Aksu,CN,41.1231,80.2644,35.98,48,4,4.47,clear sky
17,Lebu,CL,-37.6167,-73.65,58.55,80,31,8.32,scattered clouds
18,San Carlos De Bariloche,AR,-41.1456,-71.3082,55.15,54,40,25.32,light rain
19,El Alto,PE,-4.2714,-81.2147,69.46,72,44,14.43,scattered clouds
20,Grand Forks,US,47.9417,-97.4337,22.73,79,100,6.91,overcast clouds
21,Tilichiki,RU,60.4667,166.1,18.95,96,100,6.6,light snow
22,Kapaa,US,22.0752,-159.319,79.12,76,75,18.41,broken clouds
23,Broken Hill,AU,-31.95,141.4333,57.54,65,82,22.26,broken clouds
24,Hualmay,PE,-11.0964,-77.6139,67.26,75,71,10.13,broken clouds
25,Busselton,AU,-33.65,115.3333,46.8,85,0,9.78,clear sky
26,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,12.79,67,0,6.71,clear sky
27,Ust-Kan,RU,50.9276,84.761,19.56,90,100,7.76,overcast clouds
28,Kharitonovo,RU,61.4009,47.4978,22.89,75,100,14.7,overcast clouds
29,Hobart,AU,-42.8794,147.3294,54.05,97,75,4.61,light rain
30,Nakamura,JP,32.9833,132.9333,55.38,92,14,5.19,few clouds
31,Montana,BG,43.4125,23.225,48.18,75,2,1.68,clear sky
32,Khatanga,RU,71.9667,102.5,-24.16,99,100,6.13,overcast clouds
33,Hambantota,LK,6.1241,81.1185,75.88,90,100,4.79,overcast clouds
34,New Norfolk,AU,-42.7826,147.0587,53.71,91,100,1.14,moderate rain
35,Thompson,CA,55.7435,-97.8558,15.96,73,75,4.61,broken clouds
36,Castro,BR,-24.7911,-50.0119,65.23,94,74,1.57,light rain
37,Kaitangata,NZ,-46.2817,169.8464,54.61,72,89,9.64,overcast clouds
38,Tasiilaq,GL,65.6145,-37.6368,44.76,57,100,34.78,overcast clouds
39,Coquimbo,CL,-29.9533,-71.3436,67.73,63,0,13.8,clear sky
40,Tuatapere,NZ,-46.1333,167.6833,57.72,73,65,3.18,broken clouds
41,Rikitea,PF,-23.1203,-134.9692,74.79,88,98,17.05,overcast clouds
42,Chokurdakh,RU,70.6333,147.9167,-29.11,100,92,5.61,overcast clouds
43,Brewster,US,41.3973,-73.6171,51.46,59,55,1.01,broken clouds
44,Colares,PT,38.7992,-9.4469,66.33,99,75,13.0,broken clouds
45,Ushuaia,AR,-54.8,-68.3,56.86,47,20,13.8,few clouds
46,Vaini,TO,-21.2,-175.2,75.2,89,100,23.55,light rain
47,Ponneri,IN,13.3167,80.2,75.18,88,100,5.48,overcast clouds
48,Asmar,AF,35.0333,71.3581,48.09,92,100,0.65,light rain
49,Yellowknife,CA,62.456,-114.3525,28.92,80,20,5.75,few clouds
50,Urusha,RU,54.05,122.9,6.76,98,100,2.3,overcast clouds
51,Carnarvon,AU,-24.8667,113.6333,66.97,65,0,15.37,clear sky
52,Husavik,IS,66.0449,-17.3389,41.43,98,100,10.02,overcast clouds
53,Komsomolskiy,UZ,40.4272,71.7189,38.12,87,100,4.61,fog
54,Solwezi,ZM,-12.1688,26.3894,61.48,97,97,3.94,overcast clouds
55,Dingle,PH,10.9995,122.6711,75.72,93,67,7.63,broken clouds
56,Ponta Do Sol,PT,32.6667,-17.1,69.71,84,69,3.58,broken clouds
57,Rocha,UY,-34.4833,-54.3333,68.22,92,100,10.83,overcast clouds
58,Itu,BR,-23.2642,-47.2992,92.32,36,2,1.99,clear sky
59,Kieta,PG,-6.2167,155.6333,81.9,78,81,3.94,light rain
60,Cabo San Lucas,MX,22.8909,-109.9124,82.62,65,74,10.07,broken clouds
61,Linhares,BR,-19.3911,-40.0722,77.34,77,79,9.55,broken clouds
62,Kireyevsk,RU,53.9336,37.9279,38.19,71,95,18.57,overcast clouds
63,Cape Town,ZA,-33.9258,18.4232,63.27,72,0,9.22,clear sky
64,Prince George,CA,53.9166,-122.753,30.61,93,75,6.91,broken clouds
65,Rokytnice Nad Jizerou,CZ,50.7256,15.4336,45.36,91,4,5.5,clear sky
66,Hermanus,ZA,-34.4187,19.2345,54.81,85,0,4.83,clear sky
67,Richards Bay,ZA,-28.783,32.0377,69.58,82,96,14.61,overcast clouds
68,Fare,PF,-16.7,-151.0167,75.27,72,100,1.9,overcast clouds
69,Guerrero Negro,MX,27.9769,-114.0611,67.44,52,2,17.22,clear sky
70,Jesus Carranza,MX,17.4333,-95.0333,74.34,85,86,12.44,overcast clouds
71,Barrow,US,71.2906,-156.7887,21.22,63,100,11.5,overcast clouds
72,Tazovskiy,RU,67.4667,78.7,-16.65,90,90,7.25,overcast clouds
73,Burnie,AU,-41.0667,145.9167,58.95,96,100,7.36,overcast clouds
74,Jamestown,US,42.097,-79.2353,35.71,78,100,16.11,light snow
75,Eureka,US,40.8021,-124.1637,56.57,83,0,1.99,clear sky
76,East London,ZA,-33.0153,27.9116,63.16,78,3,11.05,clear sky
77,El Limon,VE,10.3059,-67.6321,88.92,81,99,3.04,overcast clouds
78,Zhigansk,RU,66.7697,123.3711,-11.0,97,100,7.09,overcast clouds
79,Medyn,RU,54.9692,35.8586,39.06,66,100,12.71,overcast clouds
80,Anadyr,RU,64.75,177.4833,-3.5,83,77,0.0,fog
81,Asau,RO,46.4333,26.4,42.28,64,6,1.77,clear sky
82,Ostrovnoy,RU,68.0531,39.5131,34.09,69,100,13.15,light snow
83,Havoysund,NO,70.9963,24.6622,37.63,84,85,8.34,overcast clouds
84,Bethel,US,41.3712,-73.414,51.89,57,100,12.66,overcast clouds
85,Roald,NO,62.5833,6.1333,57.33,87,75,3.44,broken clouds
86,Boyolangu,ID,-8.1181,111.8935,75.16,94,97,0.13,overcast clouds
87,Monteagudo,BO,-19.8167,-63.9833,90.79,30,1,12.03,clear sky
88,Tezu,IN,27.9167,96.1667,61.47,53,0,4.16,clear sky
89,Ribeira Grande,PT,38.5167,-28.7,64.8,77,40,17.27,scattered clouds
90,Northam,GB,51.0333,-4.2167,57.38,93,100,11.5,overcast clouds
91,Gimli,CA,50.6336,-96.9907,23.02,80,96,9.22,overcast clouds
92,Camacha,PT,33.0833,-16.3333,65.62,88,40,5.75,scattered clouds
93,Luebo,CD,-5.35,21.4167,70.34,95,89,1.57,light rain
94,Evensk,RU,61.95,159.2333,6.21,94,91,6.62,overcast clouds
95,Ancud,CL,-41.8697,-73.8203,54.21,84,77,19.44,broken clouds
96,Nyzhni Sirohozy,UA,46.8484,34.3804,44.47,90,25,7.81,scattered clouds
97,Port Hardy,CA,50.6996,-127.4199,42.98,87,75,5.75,broken clouds
98,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,86,100,9.22,mist
99,Tigzirt,DZ,36.8886,4.1198,64.94,70,91,5.93,overcast clouds
100,Saskylakh,RU,71.9167,114.0833,-6.63,94,100,11.68,overcast clouds
101,Narkevychi,UA,49.5172,26.6418,42.01,93,72,4.0,broken clouds
102,Bilibino,RU,68.0546,166.4372,-11.61,97,100,3.6,overcast clouds
103,Mbulu,TZ,-3.85,35.5333,62.13,80,85,4.43,overcast clouds
104,Berlevag,NO,70.8578,29.0864,35.6,80,0,12.66,clear sky
105,Atar,MR,20.5169,-13.0499,80.51,10,4,7.31,clear sky
106,Kodiak,US,57.79,-152.4072,38.71,81,100,17.27,overcast clouds
107,Kenai,US,60.5544,-151.2583,35.69,98,100,25.32,moderate rain
108,Keti Bandar,PK,24.1447,67.4497,78.57,69,0,8.84,clear sky
109,Yeppoon,AU,-23.1333,150.7333,69.58,70,73,11.79,broken clouds
110,Hilo,US,19.7297,-155.09,80.33,73,75,9.22,broken clouds
111,Peniche,PT,39.3558,-9.3811,63.28,96,80,10.2,broken clouds
112,Mataura,NZ,-46.1927,168.8643,58.48,73,61,4.27,broken clouds
113,Luderitz,NA,-26.6481,15.1594,62.17,73,0,17.09,clear sky
114,Port Lincoln,AU,-34.7333,135.8667,54.73,71,100,19.35,overcast clouds
115,Tura,IN,25.5198,90.2201,61.27,87,0,4.43,clear sky
116,Kemijarvi,FI,66.7131,27.4306,28.72,94,100,3.0,overcast clouds
117,Longyearbyen,SJ,78.2186,15.6401,28.24,69,75,10.36,broken clouds
118,Tabuk,PH,17.4189,121.4443,73.4,95,22,1.92,few clouds
119,Diego De Almagro,CL,-26.3667,-70.05,74.37,13,0,11.81,clear sky
120,Luba,GQ,3.4568,8.5547,80.49,85,23,8.77,light rain
121,Muroto,JP,33.2833,134.15,62.98,73,61,6.22,broken clouds
122,Beira,MZ,-19.8436,34.8389,80.69,78,0,8.97,clear sky
123,Upernavik,GL,72.7868,-56.1549,22.48,70,100,5.48,overcast clouds
124,Iquitos,PE,-3.7481,-73.2472,93.24,62,40,6.91,scattered clouds
125,Itoman,JP,26.1247,127.6694,73.42,80,40,18.41,scattered clouds
126,Isangel,VU,-19.55,169.2667,77.11,83,2,9.22,clear sky
127,Nikolskoye,RU,59.7035,30.7861,37.8,79,100,4.9,overcast clouds
128,Limon,CR,10.0,-83.0333,76.89,88,100,3.44,drizzle
129,Galich,RU,58.3797,42.3475,29.53,77,100,15.19,overcast clouds
130,Svetlogorsk,BY,52.6333,29.7333,39.78,88,50,6.08,scattered clouds
131,Mpraeso,GH,6.5932,-0.7346,71.19,93,98,2.93,overcast clouds
132,Dwarka,IN,22.2394,68.9678,78.33,58,0,9.44,clear sky
133,Tessalit,ML,20.1986,1.0114,77.32,16,90,10.31,overcast clouds
134,Constantine,DZ,36.365,6.6147,58.41,58,40,5.75,scattered clouds
135,Saint Anthony,US,45.0205,-93.218,29.84,57,100,3.44,overcast clouds
