City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Bull Savanna,JM,79.47,scattered clouds,17.8868,-77.5902,Big Red's
5,Hithadhoo,MV,80.87,overcast clouds,-0.6,73.0833,Scoop Guest House
6,Omboue,GA,76.01,light rain,-1.5746,9.2618,Hotel Olako
10,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
22,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Hambantota,LK,75.88,overcast clouds,6.1241,81.1185,Bungalow 63
46,Vaini,TO,75.2,light rain,-21.2,-175.2,Keleti Beach Resort
47,Ponneri,IN,75.18,overcast clouds,13.3167,80.2,Madurai Azhgar Mess
55,Dingle,PH,75.72,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
59,Kieta,PG,81.9,light rain,-6.2167,155.6333,Uruna Bay Retreat
60,Cabo San Lucas,MX,82.62,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
61,Linhares,BR,77.34,broken clouds,-19.3911,-40.0722,Hotel Conceição
68,Fare,PF,75.27,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
77,El Limon,VE,88.92,overcast clouds,10.3059,-67.6321,Campamento Valle Beraca
86,Boyolangu,ID,75.16,overcast clouds,-8.1181,111.8935,Yos ega cv
105,Atar,MR,80.51,clear sky,20.5169,-13.0499,Oumou Elghoura
108,Keti Bandar,PK,78.57,clear sky,24.1447,67.4497,Haji laloo memon house
110,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
122,Beira,MZ,80.69,clear sky,-19.8436,34.8389,Beira Terrace Hotel
126,Isangel,VU,77.11,clear sky,-19.55,169.2667,Tanna Lodge
128,Limon,CR,76.89,drizzle,10.0,-83.0333,Hotel Playa Bonita
132,Dwarka,IN,78.33,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
138,Kilindoni,TZ,78.12,clear sky,-7.9139,39.6668,Bustani B&B
142,Kolondieba,ML,82.33,overcast clouds,11.0882,-6.8926,Park
147,Yaring,TH,77.5,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
149,Loreto,MX,77.13,clear sky,22.2667,-101.9667,José de Jesús Velásquez mora
152,Atuona,PF,77.61,clear sky,-9.8,-139.0333,Villa Enata
154,Pozo Colorado,PY,81.86,moderate rain,-23.4923,-58.7972,Hospedaje La Norteña
157,Muisne,EC,75.85,overcast clouds,0.6,-80.0333,Quinta Samay
160,Kuching,MY,75.42,light rain,1.55,110.3333,Hilton Kuching
172,Faanui,PF,75.07,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
175,Tautira,PF,75.9,overcast clouds,-17.7333,-149.15,Pension Oaoa
179,Tutoia,BR,79.93,clear sky,-2.7619,-42.2744,Pousada Guará's
180,Chambas,CU,82.13,scattered clouds,22.1928,-78.9136,Deynier Salazar
182,Nuevitas,CU,82.9,clear sky,21.5453,-77.2644,Hotel Caonaba
192,Arraial Do Cabo,BR,78.76,few clouds,-22.9661,-42.0278,Pousada Porto Praia
193,Bahia Honda,CU,80.28,few clouds,22.9036,-83.1592,Casa Gualberto - Deysi
196,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
200,Butaritari,KI,79.93,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
204,Mumford,GH,79.54,overcast clouds,5.2618,-0.759,Peace Guest House
210,Sola,VU,77.67,clear sky,-13.8833,167.55,Leumerus Bungalows
211,Acapulco,MX,83.23,light rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
219,Sao Filipe,CV,77.25,overcast clouds,14.8961,-24.4956,Hotel Xaguate
224,Lorengau,PG,80.47,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
226,Idenao,CM,78.21,broken clouds,4.2475,9.0047,Moland Beach Resort
231,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
233,Lahaina,US,80.8,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
237,La Primavera,CO,81.77,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
239,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
245,Matara,LK,75.67,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
256,Cabedelo,BR,81.27,few clouds,-6.9811,-34.8339,Pousada Camboinha
258,Kalmunai,LK,76.21,overcast clouds,7.4167,81.8167,VS Villa
